#Question Ref.,Reporting Requirement,Definitions,Department
1.1,Corporate Identity Number (CIN) of the Listed Entity,"Corporate Identification Number (CIN) is a 21 digits alpha-numeric code issued to companies incorporated within the country on being registered by the ROC situated in different states across India under the MCA. CIN is provided to all companies registered in India, which include: Private Limited Companies (PLCs)",Secretarial
1.2,Name of the Listed Entity,General Details,Secretarial
1.3,Year of incorporation,General Details,Secretarial
1.4,Registered office address,General Details,Secretarial
1.5,Corporate address,General Details,Secretarial
1.6,Email,General Details,Secretarial
1.7,Telephone,General Details,Secretarial
1.8,Website,General Details,Secretarial
1.9,Financial year for which reporting is being done,General Details,Secretarial
1.1,Name of the Stock Exchange(s) where shares are listed,"Bombay Stock Exchange, National Stock Exchange of India, Multi Commodity Exchange of India etc.",Secretarial
1.11,Paid-up Capital,Paid-up capital is money that a company receives from selling stock directly to investors.,Secretarial
1.12,"Name and contact details (telephone, email address) of the person who may be contacted in case of any queries on the BRSR report","Name and contact details (telephone, email address) of the person who may be contacted in case of any queries on the BRSR report ",Secretarial
1.13,"Reporting boundary - Are the disclosures under this report made on a standalone basis (i.e. only for the entity) or on a consolidated basis (i.e. for the entity and all the entities which form a part of its consolidated financial statements, taken together).",The BRSR seeks disclosure of the reporting boundary i.e. whether the reporting is done for the entity on a stand-alone or consolidated basis. Listed entities shall ensure consistency in reporting boundary across the report & provide detailed disclosures such as any addition of manufacturing plants / units / capacity during the FY,Finance
1.14,Name of assurance provider,,Finance
1.15,Type of assure obtained,,Finance
1.16,"Details of business activities (accounting for 90% of the turnover) in line with those given in Form MGT-7:
-  Description of Main Activity 
- Description of Business Activity
- % of Turnover of the entity",The details of business activities shall be in line those given in Form MGT-7 prescribed by MCA.  Activities accounting for more than 90% of turnover should be mentioned. ,Finance
1.17,"Products/Services sold by the entity (accounting for 90% of the entity’s Turnover):
- Product / Services
- National Industrial Classification (NIC) Code 
- % of total Turnover contributed","1. The entity shall disclose the top products manufactured or services provided by the listed entity that account for 90% of its turnover (in descending order) along-with the individual contribution of such products / services to the total turnover. 

2. The National Industrial Classification (NIC) codes are available at the following link: http://mospi.nic.in/classification/national- industrial-classification/alphabetic-index-5digit.",Finance
1.18,Number of locations where plants and/or operations/offices of the entity are situated (National & International),"This will include the 'number' of all stores, corporate offices and warehouses. ",Finance
1.19,"--- Markets served by the entity (Number of locations)
       - National (No. of States)
       - International (No. of Countries)
---What is the contribution of exports as a percentage of the total turnover of the entity
---A brief on types of customers","The company’s turnover is the number of sales that they have made in their accounting period. 
",Finance
"1.20 / 3.2.2 , 3.2.3 , 3.2.4 ","Employee and worker details at the end of financial year along with details of Permanent / Other Than Permanent Staff and their gender
Identification of differently abled Employees and workers ( along with employement type like Permanent / Other Than Permanent Staff and gender)","1. The entity shall disclose the total number of employees and workers, along-with the associated break-up by gender (male / female) and into permanent / other than permanent.

2. The term “Employee” is defined under Sec 2(l) of the Industrial Relations Code, 2020 and means, any person (other than an apprentice engaged under the Apprentices Act, 1961), employed on wages by an establishment to do any skilled, semi-skilled or unskilled, manual, operational, supervisory, managerial, administrative, technical or clerical work for hire or reward, whether the terms of employment be express or implied, and also includes a person declared to be an employee by the appropriate Government, but does not include any member of the Armed Forces of the Union. Ref- http://egazette.nic.in/WriteReadData/2020/222118.pdf 

3. The term “Worker” is defined under Sec 2(zr) of the Industrial Relations Code, 2020 and means any person (except an apprentice as defined under clause (aa) of section 2 of the Apprentices Act, 1961) employed in any industry to do any manual, unskilled, skilled, technical, operational, clerical or supervisory work for hire or reward, whether the terms of employment be express or implied, and includes working journalists as defined in clause (f) of section 2 of the Working Journalists and other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions Act, 1955 and sales promotion employees as defined in clause (d) of section 2 of the Sales Promotion Employees (Conditions of Service) Act, 1976, and for the purposes of any proceeding under this Code in relation to an industrial dispute, includes any such person who has been dismissed, discharged or retrenched or otherwise terminated in connection with, or as a consequence of, that dispute, or whose dismissal, discharge or retrenchment has led to that dispute, but does not include any such person -— (i) who is subject to the Air Force Act, 1950 (45 of 1950), or the Army Act, 1950 (46 of 1950), or the Navy Act, 1957 (62 of 1957); or (ii) who is employed in the police service or as an officer or other employee of a prison; or (iii) who is employed mainly in a managerial or administrative capacity; or (iv) who is employed in a supervisory capacity drawing wages exceeding eighteen thousand rupees per month or an amount as may be notified by the Central Government from time to time. Ref.- http://egazette.nic.in/WriteReadData/2020/222118.pdf 

4. The term “permanent employee or “permanent worker” refers to an employee or worker, employed for full-time or part- time work, for an indeterminate period. The term “other than permanent employee” or “other than permanent worker” refers to employees or workers who are employed for a fixed term that ends when a specific time period expires, or on completion of a specific task or an event such as the end of a project or return of a replaced employee. “Other than permanent” employees or workers could be employed directly by the entity or through third party contractors. 

5. Differently abled employees / workers may be identified on the basis of the definition of “persons with disabilities” in The Rights of Persons with Disabilities Act, 2016 and rules made thereunder. 

6. The entity should provide details as at the end of the reporting period; however, in case there is any significant change in number of employees / workers from the beginning to the end of the reporting period, the reasons for the same should be indicated",Human Resource
